Time [s],Packet ID,Address,Data,Read/Write,ACK/NAK
0.448499000000000,0,0x4E,0x08,Write,ACK
0.448728500000000,1,0x4E,0x0C,Write,ACK
0.448958500000000,2,0x4E,0x08,Write,ACK
0.449248000000000,3,0x4E,0x18,Write,ACK
0.449478000000000,4,0x4E,0x1C,Write,ACK
0.449707500000000,5,0x4E,0x18,Write,ACK
0.452084500000000,6,0x4E,0x88,Write,ACK
0.452314500000000,7,0x4E,0x8C,Write,ACK
0.452544000000000,8,0x4E,0x88,Write,ACK
0.452823500000000,9,0x4E,0x08,Write,ACK
0.453053500000000,10,0x4E,0x0C,Write,ACK
0.453293000000000,11,0x4E,0x08,Write,ACK
0.453587500000000,12,0x4E,0x29,Write,ACK
0.453817500000000,13,0x4E,0x2D,Write,ACK
0.454047000000000,14,0x4E,0x29,Write,ACK
0.454337000000000,15,0x4E,0x09,Write,ACK
0.454566500000000,16,0x4E,0x0D,Write,ACK
0.454796000000000,17,0x4E,0x09,Write,ACK
0.455081000000000,18,0x4E,0x49,Write,ACK
0.455316000000000,19,0x4E,0x4D,Write,ACK
0.455545500000000,20,0x4E,0x49,Write,ACK
0.455830500000000,21,0x4E,0x59,Write,ACK
0.456060000000000,22,0x4E,0x5D,Write,ACK
0.456289500000000,23,0x4E,0x59,Write,ACK
0.456574500000000,24,0x4E,0x69,Write,ACK
0.456804000000000,25,0x4E,0x6D,Write,ACK
0.457034000000000,26,0x4E,0x69,Write,ACK
0.457313500000000,27,0x4E,0xE9,Write,ACK
0.457543000000000,28,0x4E,0xED,Write,ACK
0.457773000000000,29,0x4E,0xE9,Write,ACK
0.458057500000000,30,0x4E,0x79,Write,ACK
0.458287500000000,31,0x4E,0x7D,Write,ACK
0.458517000000000,32,0x4E,0x79,Write,ACK
0.458801500000000,33,0x4E,0x49,Write,ACK
0.459031500000000,34,0x4E,0x4D,Write,ACK
0.459261000000000,35,0x4E,0x49,Write,ACK
0.459546000000000,36,0x4E,0x69,Write,ACK
0.459775500000000,37,0x4E,0x6D,Write,ACK
0.460005000000000,38,0x4E,0x69,Write,ACK
0.460285000000000,39,0x4E,0x59,Write,ACK
0.460514500000000,40,0x4E,0x5D,Write,ACK
0.460744500000000,41,0x4E,0x59,Write,ACK
0.461029000000000,42,0x4E,0x79,Write,ACK
0.461259000000000,43,0x4E,0x7D,Write,ACK
0.461493500000000,44,0x4E,0x79,Write,ACK
0.461773000000000,45,0x4E,0x29,Write,ACK
0.462003000000000,46,0x4E,0x2D,Write,ACK
0.462232500000000,47,0x4E,0x29,Write,ACK
0.462522500000000,48,0x4E,0x29,Write,ACK
0.462752000000000,49,0x4E,0x2D,Write,ACK
0.462981500000000,50,0x4E,0x29,Write,ACK
0.463266500000000,51,0x4E,0x09,Write,ACK
0.463496000000000,52,0x4E,0x0D,Write,ACK
0.463726000000000,53,0x4E,0x09,Write,ACK
0.464010500000000,54,0x4E,0x59,Write,ACK
0.464240500000000,55,0x4E,0x5D,Write,ACK
0.464470000000000,56,0x4E,0x59,Write,ACK
0.464750000000000,57,0x4E,0x09,Write,ACK
0.464979500000000,58,0x4E,0x0D,Write,ACK
0.465209000000000,59,0x4E,0x09,Write,ACK
0.465494000000000,60,0x4E,0x69,Write,ACK
0.465723500000000,61,0x4E,0x6D,Write,ACK
0.465953500000000,62,0x4E,0x69,Write,ACK
0.466233000000000,63,0x4E,0x19,Write,ACK
